listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
4305365,2019-07-03,t,$134.00,$134.00,1.0,1125.0
4305366,2020-01-28,f,$98.00,$98.00,1.0,1125.0
4305366,2020-02-01,f,$98.00,$98.00,1.0,1125.0
4408558,2019-12-07,t,$232.00,$232.00,28.0,1125.0
4408558,2019-11-04,t,$232.00,$232.00,28.0,1125.0
4408777,2019-08-17,f,$414.00,$414.00,2.0,91.0
4408777,2019-06-25,t,$429.00,$429.00,2.0,91.0
4415395,2019-09-24,t,$399.00,$399.00,1.0,1125.0
4415395,2020-02-05,t,$399.00,$399.00,1.0,1125.0
4457180,2020-04-01,f,$491.00,$491.00,1.0,30.0
4457180,2019-09-19,t,$348.00,$348.00,1.0,30.0
4494508,2019-08-25,t,$588.00,$588.00,2.0,30.0
4494508,2019-06-01,t,$588.00,$588.00,2.0,30.0
4585254,2019-05-20,f,$280.00,$280.00,14.0,50.0
4585254,2019-12-17,f,$318.00,$318.00,14.0,50.0
4610554,2019-04-28,t,$479.00,$479.00,1.0,1125.0
4610554,2019-05-08,t,$479.00,$479.00,1.0,1125.0
4625941,2019-07-14,f,$508.00,$508.00,2.0,1125.0
4625941,2019-12-10,t,$508.00,$508.00,2.0,1125.0
4640119,2019-12-09,f,$307.00,$307.00,2.0,90.0
4640119,2019-12-16,f,$308.00,$308.00,2.0,90.0
4731055,2020-04-15,t,$690.00,$690.00,1.0,1125.0
4731055,2019-11-24,t,$690.00,$690.00,1.0,1125.0
4739385,2019-05-03,f,$260.00,$260.00,7.0,1125.0
4739385,2019-07-04,f,$260.00,$260.00,7.0,1125.0
4741091,2019-07-29,f,$800.00,$800.00,3.0,1125.0
4741091,2019-12-12,f,$800.00,$800.00,3.0,1125.0
4746548,2019-11-11,t,$591.00,$591.00,1.0,30.0
4746548,2019-05-15,t,$368.00,$368.00,1.0,30.0
4778028,2020-01-26,f,$100.00,$100.00,1.0,30.0
4778028,2019-04-28,f,$100.00,$100.00,1.0,30.0
4795169,2020-02-25,t,$600.00,$600.00,1.0,1125.0
4795169,2019-08-25,t,$600.00,$600.00,1.0,1125.0
4812705,2019-05-25,f,$130.00,$130.00,2.0,1125.0
4812705,2019-05-07,f,$130.00,$130.00,2.0,1125.0
4825764,2019-05-16,f,$339.00,$339.00,1.0,1125.0
4825764,2019-06-19,f,$339.00,$339.00,1.0,1125.0
4826078,2019-06-07,t,$3298.00,$3298.00,1.0,1125.0
4826078,2019-08-10,t,$3298.00,$3298.00,1.0,1125.0
4827732,2019-09-02,f,$419.00,$419.00,1.0,1125.0
4827732,2020-01-12,t,$419.00,$419.00,1.0,1125.0
4850257,2019-09-27,f,$145.00,$145.00,1.0,7.0
4850257,2019-10-05,f,$145.00,$145.00,1.0,7.0
4857138,2020-01-30,t,$242.00,$242.00,1.0,10.0
4857138,2019-12-11,t,$242.00,$242.00,1.0,10.0
4864988,2019-06-10,t,$388.00,$388.00,2.0,1125.0
4864988,2019-08-02,t,$388.00,$388.00,2.0,1125.0
4878955,2020-01-30,f,$209.00,$209.00,1.0,1125.0
4878955,2019-06-17,t,$209.00,$209.00,1.0,1125.0
4899894,2019-05-20,t,$479.00,$479.00,1.0,1125.0
4899894,2020-01-31,t,$479.00,$479.00,1.0,1125.0
4911685,2019-12-31,t,$1137.00,$1137.00,2.0,1125.0
4911685,2020-02-29,t,$1516.00,$1516.00,2.0,1125.0
4917080,2019-12-18,t,$208.00,$208.00,1.0,1125.0
4917080,2020-01-23,t,$208.00,$208.00,1.0,1125.0
4951287,2020-02-20,t,$225.00,$225.00,1.0,1125.0
4951287,2019-08-20,t,$225.00,$225.00,1.0,1125.0
4982247,2019-07-17,t,$369.00,$369.00,1.0,1125.0
4982247,2019-09-07,t,$369.00,$369.00,1.0,1125.0
4990531,2019-06-21,t,$1610.00,$1610.00,2.0,1125.0
4990531,2019-09-21,t,$1610.00,$1610.00,2.0,1125.0
4995564,2019-08-14,f,$226.00,$226.00,1.0,1125.0
4995564,2019-07-06,f,$226.00,$226.00,1.0,1125.0
4998951,2020-04-01,f,$1342.00,$1342.00,1.0,1125.0
4998951,2019-11-12,f,$1342.00,$1342.00,1.0,1125.0
5022725,2019-08-02,f,$160.00,$160.00,1.0,1125.0
5022725,2020-04-13,f,$216.00,$216.00,1.0,1125.0
5032897,2020-04-01,f,$404.00,$404.00,1.0,120.0
5032897,2019-04-19,t,$389.00,$389.00,1.0,120.0
5063347,2020-04-05,f,$500.00,$500.00,3.0,1125.0
5063347,2019-07-15,t,$500.00,$500.00,3.0,1125.0
5071177,2019-10-02,t,$328.00,$328.00,1.0,30.0
5071177,2019-08-04,t,$328.00,$328.00,1.0,30.0
5087466,2020-03-26,t,$299.00,$299.00,15.0,365.0
5087466,2019-05-07,f,$299.00,$299.00,15.0,365.0
